intersection,direction,l,t,r
TCB1200,sb,NW,NW,
TCB1200,wb,SW,,NW
TCB1200,nb,,NW,SW
TCB1200,eb,,,
TCBTCD,sb,x,SW,
TCBTCD,wb,SW,,x
TCBTCD,nb,,SW,SW
TCBTCD,eb,,,
UA1200,sb,N,N,x
UA1200,wb,x,x,x
UA1200,nb,NW,N,x
UA1200,eb,N,x,NW
UATCD,sb,SE,SW,SW
UATCD,wb,x,SE,SE
UATCD,nb,S,S,x
UATCD,eb,SW,SE,S
