intersection,direction,l,t,r,i
TCB1200,sb,9.2,8,,
TCB1200,wb,9.2,,8,
TCB1200,nb,,9,9,
TCB1200,intersection,,,,8.6
TCBTCD,sb,12.1,6.4,,
TCBTCD,wb,10.5,,0,
TCBTCD,nb,,13.2,0,
TCBTCD,intersection,,,,10.8
UA1200,sb,3.1,6.4,4.2,
UA1200,wb,70.1,0,67.4,
UA1200,nb,4.5,0.2,0.1,
UA1200,eb,71.3,64.8,73.6,
UA1200,intersection,,,,9.5
UATCD,sb,72.1,1.2,0.1,
UATCD,wb,84.6,49.6,53.9,
UATCD,nb,77.4,15,13,
UATCD,eb,74.8,57.7,69.6,
UATCD,intersection,,,,24
